City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Hauterive,CA,62.456,-114.3525,-47.2,66,1,3.44,clear sky
314,Banjar,ID,-9.6567,120.2641,78.13,82,94,5.82,overcast clouds
315,Los Corrales De Buelna,ES,28.6585,-17.9182,64.4,68,40,8.05,scattered clouds
316,Altamira,BR,-2.1042,-56.4869,94.17,45,74,5.06,light rain
317,Klaksvik,FO,62.2266,-6.589,35.6,75,75,16.11,broken clouds
318,Kandrian,PG,-2.5744,150.7967,82.53,77,42,8.77,scattered clouds
319,Karpathos,GR,35.507,27.2132,62.6,82,20,9.22,few clouds
320,Batagay-Alyta,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
321,Hihifo,TO,-21.2,-175.2,77.0,94,75,8.05,moderate rain
322,Pak Phanang,TH,16.5833,98.8333,66.69,64,8,2.24,clear sky
323,Kruglolesskoye,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
324,Kahului,US,22.0752,-159.319,59.0,77,1,10.36,clear sky
325,Sao Filipe,PT,32.6667,-17.1,60.01,68,75,5.01,broken clouds
326,Akola,IN,10.5669,72.642,81.19,67,0,6.78,clear sky
327,Broome,US,42.6001,-73.9662,28.99,75,100,4.45,snow
328,Asau,RO,46.4333,26.4,28.99,75,100,2.15,overcast clouds
329,Lavrentiya,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
330,Kudahuvadhoo,MV,-0.6,73.0833,81.9,71,44,8.93,scattered clouds
331,Wagga Wagga,US,42.6001,-73.9662,28.99,75,100,4.45,snow
332,Quzhou,CN,20.35,110.1288,66.2,100,20,2.24,few clouds
333,Fuerte Olimpo,PY,-26.7167,-55.0833,92.41,26,0,3.33,clear sky
334,Sioux Lookout,CA,62.456,-114.3525,-47.2,66,1,3.44,clear sky
335,Abeche,SA,18.3851,42.4509,57.2,62,0,6.33,clear sky
336,Muravlenko,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
337,Verkhoyansk,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
338,Kaka,TM,39.5108,54.3671,51.44,65,100,10.42,overcast clouds
339,Lamar,US,22.0752,-159.319,59.0,77,1,10.36,clear sky
340,Hanyang,CN,20.35,110.1288,66.2,100,20,2.24,few clouds
341,Rocha,UY,-33.6971,-53.4616,76.33,60,1,8.97,clear sky
342,Lokosovo,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
343,Kabalo,CD,-6.05,26.9167,73.22,91,88,3.96,moderate rain
344,Luanda,AO,-8.8368,13.2343,82.4,74,75,9.22,broken clouds
345,Weligama,LK,5.9667,80.4167,76.75,85,29,2.57,scattered clouds
346,Touros,BR,-2.1042,-56.4869,94.17,45,74,5.06,light rain
